ss,sp,ps,pp,sent,s_freq,p_freq,freq
4.042230834960947,0.8443286590576236,-1.4886711730957245,1.1462752227783142,abductor,15,19,34
2.62098817443848,-0.7111772155761713,-0.40867964172365134,1.810245346069351,aboriginal,830,72,902
3.5741108093261715,0.11703800964355082,-0.17401933288576288,2.22074842834472,aborigine,20,235,255
3.7252814636230482,0.39807481384279697,-1.4982027130127165,1.287469757080089,absentee,111,6,117
2.7845616455078357,-0.39763481140136037,-2.4260885620116994,1.1369570007324228,abstainer,4,4,8
3.90004278564453,0.5412602691650363,-1.264581283569342,1.617913421630874,accumulator,26,24,50
3.786534576416031,0.637044647216797,-1.413875885009773,1.253730010986331,accuser,39,38,77
4.582441207885736,1.7573944854736396,-0.959740234375019,1.5069073486328222,ace,1494,295,1789
3.888074142456034,0.5529874725341983,-0.33280093383788767,2.4681025848388884,achiever,25,6,31
4.059112487792973,1.044327178955072,-1.3158416290283128,1.4023308410644546,acquaintance,373,218,591
3.870855514526383,0.6195245361327864,-0.8649219665527283,1.7058373107910114,addict,145,72,217
3.447393630981452,0.16346874999999272,-0.734537155151358,1.344539566040055,adherent,66,352,418
3.635897994995119,0.5692427673339893,-1.9649903259277295,0.8141202392578037,adjudicator,11,5,16
4.112738662719735,0.990197952270492,-1.9941798858642699,0.6314644775390548,administrator,782,492,1274
4.072149581909187,0.7727047729492114,-1.7808542938232534,0.9242821807861219,admirer,270,182,452
3.5091119384765648,0.06463369750976256,0.026240692138657096,2.2906761779785114,adolescent,335,209,544
3.554232543945318,-0.09877693176269986,-0.2703387451172148,1.9466891784667837,adult,5529,3574,9103
4.251276519775388,1.025496734619125,-0.9604395446777403,1.5920763092040886,adventurer,192,152,344
4.115916442871097,1.1232027282714654,-0.8387761840820502,1.6034403381347602,adversary,196,197,393
3.3698336791992176,0.17457341003418492,-1.985265457153318,0.8597738189697282,advocate,1365,653,2018
3.9909706420898345,1.0703725585937889,-1.358569427490238,1.1006523132324162,agent,5241,3117,8358
4.161559814453128,0.38156930541993006,-1.2348723602294882,1.0507804260253835,aggregator,443,12,455
3.7286889801025325,0.12373741149902173,-1.3334889831542966,1.3747381896972684,agnostic,128,33,161
4.306421295166018,0.8473057250976552,-1.3233668212890564,1.5653225860595796,agonist,74,65,139
3.3178238983154102,-0.210489135742165,-2.0695333862304466,1.3225209197997998,albino,85,11,96
3.834493331909158,0.4283811798095485,-0.8741916046142535,1.6883199310302928,alchemist,112,43,155
3.8943635864257544,0.31304467773438205,-1.5535288696289058,1.0294426269531272,alien,3286,1309,4595
3.524215682983396,-0.09488172912597292,-2.64950790405274,1.5212132720947267,allocator,40,39,79
3.633770858764649,0.339817779541022,-1.054526275634771,1.7001469421386872,amateur,2233,232,2465
3.5489423828124984,0.06650927734376921,-0.4442302398681903,2.0762778778076125,amputee,59,28,87
3.731311965942382,0.6629418182373001,-2.4100639343261605,0.6318615112304684,analyst,462,549,1011
3.5145678863525376,0.22141392517090708,-1.2990944824218502,1.1428543853759692,anarchist,566,321,887
