s,p,sent,s_freq,p_freq,freq
-1.4430393039473817,2.5621755903508845,aboriginal,830,72,902
-0.9766680521929842,2.2079023100877144,absentee,111,6,117
2.708108131140344,2.8739334241228196,accuser,39,38,77
0.1519085657894781,3.2566431451754436,ace,1494,295,1789
-0.44072272587718864,2.282399760087708,achiever,25,6,31
0.8678501241228052,2.2349342030701926,acquaintance,373,218,591
2.6311015460526246,2.5997043868421006,actor,8770,6109,14879
2.6170767166666824,2.612789524122828,actress,5705,614,6319
0.6382608249999926,2.871851616666671,addict,145,72,217
0.6526323565789536,2.5339725596491185,adherent,66,352,418
2.0218735710526374,1.9615288728070102,administrator,782,492,1274
0.9216061407894713,1.723663203947373,admirer,270,182,452
-1.1842553903508737,2.991350364912295,adolescent,335,209,544
-0.4210078986841914,2.9229225166666595,adult,5529,3574,9103
1.0199217307017623,2.568913619736847,adventurer,192,152,344
-0.2938604061403378,3.008477989473686,advocate,1365,653,2018
2.103643819736865,2.101774322368433,agent,5241,3117,8358
0.686045180701754,2.8299629828947257,aggregator,443,12,455
-0.3438761184210488,2.394606326315799,alien,3286,1309,4595
-1.2034013684210478,2.6113857828947165,amateur,2233,232,2465
-0.16130942763157208,1.9823411447368393,amir,541,4,545
1.9251858596491171,2.8034528149122835,analyst,462,549,1011
-1.48224019736843,3.077540924561397,anarchist,566,321,887
0.30622071929825445,2.4312422947368546,ancestor,931,1088,2019
-0.9599554109649056,2.287563595614028,ancient,6622,134,6756
1.8840101833333325,2.751762999561393,angel,2602,1354,3956
1.6934341254386034,2.7227093960526254,animal,5978,7775,13753
-0.37660338114036307,2.5242090131578934,animator,391,736,1127
2.281784822807019,2.195974596491242,announcer,324,99,423
0.767623928947371,2.7966811614035194,antagonist,884,345,1229
-0.11100133245613542,2.8872509763157908,ape,207,372,579
-0.0723298065789546,2.90219468157896,apologist,31,24,55
1.8115266228069995,2.3806795333333337,applicant,269,385,654
0.4949748210526259,2.5941363850877206,appointee,73,147,220
0.48704936228068973,1.6178952429824651,appointment,2742,656,3398
2.1432704017543944,2.041137070614033,archer,950,324,1274
-0.27930569342104583,2.635296809210516,architect,2373,1256,3629
2.4262762096491084,2.409070567982452,artist,9094,7385,16479
0.8354453153508672,2.2038172921052617,assignee,10,5,15
-0.11227013377192918,2.4908081548245544,assistant,5266,498,5764
-0.43780035438594744,2.7235256543859663,associate,1675,1268,2943
-2.0336568425438504,2.982778660526316,asthmatic,33,5,38
-0.7188029684210449,3.1563951517543902,astronaut,433,438,871
2.323887681140345,2.411756037719293,athlete,1335,2410,3745
1.2333952083333237,1.9603609605263213,attraction,1582,735,2317
0.5943075526315607,2.1738261666666627,auditor,184,97,281
2.6965120337719224,2.77979117105264,author,7640,3461,11101
1.5535611565789438,2.3482942057017535,authority,7524,5340,12864
0.00045436271930121563,2.9649130087719335,avatar,888,182,1070
2.164821935964902,2.3636296026315673,baby,4303,480,4783
1.5590574057017577,2.8233008214912285,balance,2775,122,2897
2.087593610964909,2.7695052017543986,banker,372,252,624
-0.09343240745615233,2.221219425000017,barbarian,318,163,481
1.246709372368418,2.4890930921052448,bather,7,25,32
1.5488893039473854,2.3721831140350904,bearer,374,150,524
2.0246541469298194,2.129143439912296,beast,1214,238,1452
0.12760885307018377,2.547811021052624,beater,46,11,57
-0.7431459850877111,2.615031895614033,beginner,59,78,137
2.216631619736841,2.5160791964912175,beholder,54,3,57
0.7473347372806991,1.9634846535087593,being,69128,978,70106
-0.8205849846491269,2.3582881412280603,believer,355,228,583
-1.527215596052633,2.504625038157906,beloved,547,4,551
1.5286069934210484,2.199810035964891,benefactor,187,94,281
1.6347837833333294,2.664318939912283,bidder,118,56,174
-0.6633214065789517,2.786547467543855,billionaire,174,31,205
0.18995189824562786,2.8911574934210638,biologist,293,237,530
-2.0220417824561387,2.9055232118420964,bisexual,298,9,307
0.8897651500000006,2.3021342149122876,biter,12,4,16
2.705280885087708,2.8876959706140504,blogger,162,89,251
2.12178886929825,2.5333149881578994,blonde,641,31,672
1.01596891359649,2.8362970324561356,boater,9,57,66
1.8914075276315927,2.5254652552631693,boatman,23,25,48
1.550191330263166,1.6749371407894902,body,17987,5562,23549
1.2591315350877235,2.416364584210543,bomber,2167,2884,5051
1.9614210600877104,2.3433957938596564,bondsman,3,5,8
0.17772562105262857,2.6898268271929844,boob,11,18,29
0.03232153640349189,2.8117000390351183,bookmaker,37,73,110
0.2703408499999931,2.8577348421052573,boomer,66,27,93
0.9843551302631486,2.99392900614035,booster,281,98,379
1.1837212504385963,2.1576342513157805,boss,2156,471,2627
0.8068807614035087,2.728554433771942,bowman,455,22,477
0.49526553640349746,2.225101632456136,boxer,550,129,679
2.1901565508772,2.4318896802631667,boy,7855,4928,12783
0.8001691127192938,2.7458612087719327,boyfriend,1689,74,1763
1.5036848785087713,2.17064972850876,brawler,28,5,33
0.9976411837719183,2.553746677192981,broadcaster,515,297,812
1.4880016837719339,2.182402803508772,brother,12442,6567,19009
2.3211584171052486,2.4970193307017627,brunette,74,5,79
1.6161463057017595,2.3584731521929747,brute,186,45,231
-0.41376246710527376,2.3624418807017484,buddy,424,46,470
-1.0257778530701813,2.4061051662280715,buff,458,42,500
1.38454564385966,2.558240087280705,builder,492,431,923
1.3506185789473655,2.827246514912293,bull,1696,585,2281
0.6399364776315739,2.349309071491229,bum,81,24,105
0.22434760964912748,2.7879421087719294,busker,7,3,10
-0.6869925438596365,2.4612132758772045,buster,238,265,503
2.1835889,2.820492125877186,caliph,564,52,616
1.6436226508772105,2.402674122807012,caller,146,39,185
1.4923372614035273,2.1170066565789405,candidate,4275,2755,7030
-2.042274493421033,3.2936414302631594,capitalist,358,85,443
2.2619312399122844,2.259825361403511,captain,13626,805,14431
-0.7083855907894705,2.289230542105276,captive,1064,352,1416
2.1738721473684173,2.2814605688596608,captor,36,210,246
1.7629535719298168,2.3962615057017302,carrier,3591,2397,5988
1.991973123245602,2.4996479934210427,cashier,63,6,69
0.8339292929824715,2.4696580973684092,caster,29,9,38
0.9376341859649102,2.8699918776315734,catalyst,402,145,547
0.10565452061404201,2.383386299561405,category,6389,1759,8148
0.3333326653508788,2.8464940592105386,caveman,20,21,41
0.7702526627192903,2.6568732228070324,challenger,456,153,609
0.2376409907894672,2.821501524561393,champion,5322,4183,9505
1.151256621052653,2.4041530267543774,changer,48,22,70
0.22596106754384948,2.6372864008772066,chap,46,23,69
2.420246835964912,2.8988958394736706,character,34343,20753,55096
0.8730801618421076,2.0562691675438725,charmer,33,6,39
0.36740017500000377,2.242815377192997,chemist,427,188,615
0.49980997412280814,2.819968475877184,chicken,1204,264,1468
0.52955614035087,2.202191998245617,chief,12922,1421,14343
1.70036220482457,2.2586320004385865,chieftain,219,180,399
2.292865673245636,2.63899880219299,child,10686,22791,33477
-0.05014090263157378,2.5064413543859576,choreographer,343,68,411
-0.45126806622807614,2.8071247377192936,chum,50,12,62
0.5303738802631681,2.0245643763157677,citizen,1644,4207,5851
2.1320797131579,2.09201341666669,claimant,322,157,479
1.5199823855262995,2.307938469736847,class,22588,3889,26477
1.9940867736842254,2.246400943421065,classmate,285,358,643
1.0831642780701856,2.4875859250000083,client,849,738,1587
0.7863137438596493,2.602211685087715,clone,530,430,960
-0.1855634855263144,2.2236312692982487,closer,3303,30,3333
1.6440143877192828,2.308718880263168,coder,5,8,13
-0.10632996666668504,2.49298837675439,collector,1208,673,1881
-0.06985052807019443,1.7861285328947218,combatant,110,295,405
-0.584118464473681,2.0300840644736624,comer,60,26,86
2.0242612157894744,2.0507215377193067,commander,11359,1979,13338
2.049473005701765,2.746145817543857,commentator,705,1446,2151
-0.0780421618420899,2.4091958916666716,commoner,103,226,329
-0.20226296578950098,2.2462029890350994,companion,1945,908,2853
1.112806436403515,1.3238567223684328,competition,8431,1677,10108
2.30250629473686,2.5776629179824386,competitor,670,1164,1834
0.3838831820175539,2.123008253947379,computer,6158,1189,7347
1.2441526657894713,2.2154660065789464,comrade,138,420,558
1.825943492105269,2.5674216109649155,confessor,201,12,213
-2.241847807017571,2.8291244100877115,conservative,3913,1056,4969
-2.27658390570174,3.0034942135964897,consumer,1085,700,1785
-1.6373402057017419,2.378331665350874,contemporary,7271,1034,8305
1.1011212692982486,2.5341426539473666,contender,690,440,1130
2.1644554622806975,2.7143548276315936,contestant,600,631,1231
1.1568030991228238,2.284952715789487,contractor,517,456,973
2.000065986403511,2.395396012719278,controller,1077,450,1527
-0.7115507885965062,3.182318325438594,coon,178,31,209
0.0624587377193091,3.490249314912271,copycat,47,4,51
1.465084835964916,2.46021824517544,correspondent,740,161,901
0.5312999894736805,2.1162567894736934,cottager,4,12,16
1.3724322557017423,2.2186517456140145,counter,3737,237,3974
0.814848402631565,2.3724761070175635,courier,460,52,512
0.7925636592105167,2.153337041228067,cousin,2123,509,2632
0.01833226666666654,2.837821564473691,coward,412,47,459
0.27643761535086675,2.906506085964919,cowboy,511,523,1034
0.4820371473684215,3.268177880701769,crab,499,351,850
-0.58297336798244,1.9589358013157998,craftsman,132,259,391
1.220931481140358,2.43665599956139,crawler,42,21,63
1.5321552267543819,2.6746534868420984,creator,2950,871,3821
1.9510761872806786,1.8890978657894753,creature,1566,1534,3100
1.287726578508785,2.491398181140351,creditor,49,282,331
1.027881531578954,1.93520858859649,creeper,61,18,79
-0.5280265565789435,2.852933141228082,crusader,424,719,1143
-1.0387092114035106,2.8504113973684255,cultist,4,22,26
2.4199737232456044,2.5056535614035074,dancer,921,1857,2778
-0.8772874092105312,2.282324126754393,darling,422,8,430
2.095718394736842,2.4695169127192855,debater,31,12,43
2.8348029495614195,2.6608738223684316,debtor,50,156,206
0.21338235087718793,2.909423605701763,decoder,16,4,20
