ss,sp,ps,pp,sent,s_freq,p_freq,freq
0.26707906599999376,-0.2839163260001527,1.0433273019999803,1.3195150840001162,abductor,998,1004,2002
0.10257770599993421,-0.4573147460000371,1.3284134639999934,1.701690825999961,aborigine,354,2697,3051
0.019480970000145703,-0.5086204459999806,1.494326724000004,1.8428946060000726,abstainer,164,426,590
0.7109150459999256,0.17423768600002632,1.386180441999727,1.6293500539998718,accumulator,2194,469,2663
0.4771715099999767,-0.038011744000129966,1.5300397820001024,1.7794404199999292,achiever,577,1612,2189
0.40816244000001944,-0.04534663000008976,1.5919071359999748,1.7164316560000472,acquaintance,13178,9081,22259
0.23692284799998475,-0.010471110000075612,1.4636699319999167,1.633196337999884,actor,199773,143125,342898
0.18509465400002512,-0.17746896199989948,1.4930537440000933,1.7096546040001144,actress,90150,12160,102310
0.9092434020001505,0.36707299800008997,1.5147206759999534,1.707453648000147,addict,12455,18953,31408
0.4037428240000551,-0.09336339400002203,1.7021731760000307,1.8891734220001126,adherent,2216,12743,14959
-0.088724312000096,-0.5588580980000657,1.3909013539999364,1.6041840200000195,administrator,61210,57008,118218
0.25137047400002643,-0.12933348599994332,1.302232540000091,1.5487182060000038,admirer,6444,6882,13326
0.8610276699999986,0.43834342199986764,1.5805852919999523,1.8204743659999778,adolescent,26820,18675,45495
0.7313383599997891,0.2455034900000257,1.6427543340001662,1.863616649999912,adult,245407,211316,456723
0.6050354280001073,-0.12714049200003785,1.2525943099999068,1.5043951159999125,adventurer,6950,8770,15720
0.2501524940000479,-0.19261974599992726,1.4518107220000402,1.7112941340001555,adversary,14726,15142,29868
0.4086409639998507,-0.02431407200007385,1.3367948359999247,1.5196353499999233,advocate,129120,169090,298210
0.6734828360000193,0.21871073599999136,1.3863107980001388,1.5716024179999692,agent,296265,259730,555995
0.8322443599999332,0.25107165000018483,1.7531834599999883,1.9000711299998159,aggregator,5228,2317,7545
-0.0584121799999906,-0.42895645199998,1.4125680720000418,1.5339221980000275,agonist,4617,3250,7867
0.17029334799997287,-0.3757243460000268,1.805925651999928,2.0935761840000495,albino,4706,945,5651
0.9118109259999585,0.404964903999975,1.5300766980000162,1.7665196079998893,alien,134423,59864,194287
0.5347839720001843,0.03189333800006011,1.9065041279999946,2.0774400140000324,allocator,2767,684,3451
-0.13279844800003104,-0.5093764360000392,1.0035411120000646,1.1975577440000222,amir,15694,147,15841
0.40766021599984015,0.04196101599997348,1.4947511219999399,1.6689434540000576,amputee,2353,1728,4081
0.6124087500001067,0.16118618200007973,1.1338288040001672,1.4072247380001102,analyst,140326,139030,279356
