s,p,sent,s_freq,p_freq,freq
2.8706790542602505,4.93708610534668,abductor,15,19,34
-0.36010361480711595,3.602848648071287,aboriginal,830,72,902
1.8734686660766613,4.132952049255358,aborigine,20,235,255
-1.2710409698486416,3.8791922302246107,absentee,111,6,117
-1.2129114303588864,1.586769012451171,abstainer,4,4,8
1.5977077713012662,3.7727754211425832,accumulator,26,24,50
3.8280842132568367,4.420121566772458,accuser,39,38,77
2.703250839233398,4.093473121643065,ace,1494,295,1789
2.9982454910278307,3.590422973632812,achiever,25,6,31
0.40757964324951956,3.291457275390627,acquaintance,373,218,591
0.6152576446533189,2.6730687789917056,actor,8770,6109,14879
0.8231198425292945,1.7805397186279137,actress,5705,614,6319
2.7015389099121094,4.6849601593017525,addict,145,72,217
0.23545269775390665,2.8822701644897464,adherent,66,352,418
2.6759194488525395,4.035772415161134,adjudicator,11,5,16
1.3450931625366138,2.862587829589849,administrator,782,492,1274
1.2031706848144452,3.9531806945800767,admirer,270,182,452
0.5615006256103428,4.5338897399902365,adolescent,335,209,544
0.14870565032958893,3.746388938903813,adult,5529,3574,9103
2.081636680603026,4.632911567687984,adventurer,192,152,344
3.571612281799304,4.410156829833987,adversary,196,197,393
0.2107072219848618,2.993433013916004,advocate,1365,653,2018
0.8244792251586901,2.806315826416018,agent,5241,3117,8358
1.3180060272216778,3.3801749496459905,aggregator,443,12,455
-1.3191686935424798,4.831774650573735,agnostic,128,33,161
2.4730731735229483,2.550969413757322,agonist,74,65,139
-1.614752220153811,3.0566841812133774,albino,85,11,96
0.18187329864502289,2.846085388183603,alchemist,112,43,155
0.17457016754150345,4.216608192443857,alien,3286,1309,4595
1.5258016433715866,2.3415561370849574,allocator,40,39,79
-1.4629185791015615,3.7530658950805744,amateur,2233,232,2465
0.3189739837646428,-0.8958144836425959,amir,541,4,545
-0.11710230255126675,4.542188690185554,amputee,59,28,87
1.301581214904786,3.9500402297973594,analyst,462,549,1011
-1.1504074172973588,3.63078657531738,anarchist,566,321,887
0.848781272888175,3.089935722351086,anatomist,72,47,119
1.6683031921386728,2.31007905578614,anatomy,1085,3,1088
0.013364662170410213,2.560861618041983,ancestor,931,1088,2019
-0.5318362197875999,2.440712493896484,ancient,6622,134,6756
0.7997395553588902,3.88696688079834,angel,2602,1354,3956
1.381452354431154,4.018786415100095,animal,5978,7775,13753
1.253241279602051,2.049473144531248,animator,391,736,1127
3.5237134628295905,4.234668212890625,announcer,324,99,423
2.8031185607910203,3.552428062438956,antagonist,884,345,1229
0.04587379455566065,2.0047162857055554,antiquarian,296,37,333
1.0611396713256909,2.570861076354994,antiquary,61,75,136
1.309815063476563,4.540076347351082,ape,207,372,579
0.4804244384765681,4.514793777465826,apologist,31,24,55
-0.19275641632080465,4.308525634765623,apostate,27,9,36
2.6379113693237315,4.167265335082995,applicant,269,385,654
1.6441399459838877,2.6860627288818293,appointee,73,147,220
0.05842681121826132,2.0377739410400366,appointment,2742,656,3398
2.688830848693847,3.6963391494750937,arbiter,248,22,270
