Noun,Simple_s,Simple_p,SentComp_s,SentComp_p,ObjRelClauseThat_s,ObjRelClauseThat_p,ObjRelClauseNoThat_s,ObjRelClauseNoThat_p
abductor,0.6779965401778293,-0.5104842279909404,0.4949160986903028,-0.34866841799916665,0.8364396954904206,-0.9838071110489885,0.5465932711744929,-0.48511265799848446
aboriginal,-2.8095720976708236,0.4926806647774412,-3.0761992772696978,0.7865198796967803,-2.693517120701132,0.6688451163023187,-2.6381725480453997,0.8289922289748568
aborigine,-0.34293659057566833,1.300979193371982,-0.0683776018969712,1.117760380869433,-0.49696950812977914,0.9535264764249487,-0.7109348700878462,1.354010746646377
absentee,-0.8352309805727602,0.44213303541064425,-1.541918185047529,0.7492506482436795,-0.013039143517065296,0.4565331688777539,-0.2600420450506877,-0.36442882714387403
abstainer,-2.2248821197229205,-1.393039104314399,-2.0729876526497995,-1.6727365538175052,-3.2380455823255634,-0.29635263106552545,-2.1411194814445356,-1.1156985793380267
accumulator,-0.7794458676833874,-0.5823668201868476,-0.49639950955553946,-0.9175707877905912,0.4056939627054661,-0.6014695580827838,0.08491458791186589,0.08788338689275922
accuser,0.7046826851945392,0.27551160272782826,0.6411348520208371,0.5764338217617896,-0.5463502765493,-0.6142648361310484,0.04402855009351031,-0.3388078205439477
ace,1.3021762614829464,0.42116403901705834,1.53224978814819,0.47850356354109175,1.7754569352367402,1.0001443859679156,2.069357150905533,0.19036480744418066
achiever,0.5640495022261626,1.181322852708338,1.0565491228632604,1.154114660551165,0.17751022812539377,1.459687970664106,0.08218241583066907,1.4711259312775522
acquaintance,0.6160541895178459,-0.68328033638861,0.35084012701987466,-0.6381375792341875,0.31284249043874557,-0.7703781842710201,0.760541250665179,-0.14006572631777275
addict,0.11894262100480871,0.5520212096061914,0.0800475113355558,1.0755097691254316,-0.16138073573096834,0.6677642183671951,0.1264392599281865,0.43224544799878384
adherent,-0.1286166211471898,0.1778423835915602,0.07942999933730911,0.5299197716094961,-0.6483610215531366,-0.04772158935274051,-0.8152781071678374,0.1937851391871378
adjudicator,0.5365895826785814,-1.6421805163743688,0.4323162357781573,-1.4535674212875018,-1.0277301093685516,-1.4169397526350016,-0.19934669210696634,-1.1000530767034342
administrator,0.6644926946954517,-1.8204130840526693,0.5414281823926961,-1.8099066956302432,-0.06283189694949247,-1.498593704823595,0.7712452370343169,-1.2837338362922854
admirer,0.34540515177707876,-0.41671571997785256,0.8251737828789418,-0.05373701891298223,0.5177250413788954,-0.7639992523931765,0.5123736938689041,-0.8787389401701038
adolescent,-0.31675572631155774,1.8262465391584954,0.2802861122222073,1.6128462815061821,-0.7472634416193809,1.6118504835510001,-0.8384091293078367,1.5498347446046274
adult,-0.3345856462537204,1.2970050469035965,-0.6330809759953454,1.2668248026783575,-0.5222570269857358,0.7869978561592348,-0.9437613186035634,1.0435518332107871
adventurer,1.3515826909815745,0.8763419844828706,1.6729762550898692,0.30964833310125994,1.143186391008784,0.5784393691830205,0.9688211723453486,0.2665136456143432
adversary,0.5786167605804483,0.9689355988163137,0.4373921867699687,1.0768264502721379,0.907291117634326,0.677000108748752,0.904037510817536,0.3574892068864446
advocate,0.504587598200994,-1.010721748691701,0.7451148166815484,-0.5240222748260146,-1.6169047698536188,-1.4106971847812972,-0.8959425132551054,-1.0724432618654585
agent,0.2122601159076049,-1.262780905957368,0.12824799596780062,-1.2446495301669787,0.8018566775983293,-0.9528957452383513,0.7054762330661174,-0.4397982881509758
aggregator,-0.47954264799411145,-0.38636505427922774,-0.5563022871233292,-0.6353468929802725,0.7677797308982255,-0.058133310803110905,0.2382897582418064,-0.40255710677474826
agnostic,0.341367075766644,0.2730767634447588,0.12199205812285263,0.10527693875753866,-1.325027069067008,-0.14963146618807752,-0.522196480525666,-0.1765997562484196
agonist,0.5508895119123544,-0.4673254886448713,0.7055232045161357,-0.9035257467935968,1.1733341812612208,0.6462327629842887,0.8609464392736673,0.0015572947415799648
albino,-1.0798186117928124,-1.4419122552806043,-1.3251795436573088,-0.9195220892622373,-0.7356626615561168,0.002947786173684991,-1.3308600069591474,-0.712115327793592
alchemist,0.6250486474223927,-0.5271346922319058,0.6276641133710328,-0.45411817567060175,-0.6883637969845258,0.009106840523653445,-0.10188350856258256,0.4103351878113245
alien,-0.457073501212236,-0.6230076357390169,-0.44383643505666853,-0.5678865699289388,0.3387258523603316,-0.42576360461251683,-0.1432035549219539,-0.6332572187762499
allocator,-1.1694080371504432,-1.790214588901191,-1.4337022871130638,-1.2894215403721017,-0.826387047392173,-0.6243309904413603,-0.975370137114935,-0.9183371022860253
amateur,-0.4495312510741545,0.23574067106169935,-0.9681908888103719,0.5351786220920887,-0.3606546618214185,0.5122873663546786,-0.42445056404544435,0.3012782811654994
