Noun,PC1,PC2,PC3,Frequency
waver,8.761418855266875,1.708068868920659,0.9769252925140347,50
wiper,8.339597220183114,-2.1002724137244115,-0.4339103184507,20
retard,8.119170824569862,1.5505521494577903,-0.16356130809892785,38
cultist,8.050219611790775,0.12068614315106789,-0.37214108899086473,26
occult,7.297977750788946,1.0410202182855914,-0.35729410556992364,286
tease,7.117812378541842,1.5704818661665765,0.5005196949644548,170
abstainer,6.979373465928685,-0.0689124193498252,-0.5106001705626659,8
naturist,6.490485840610807,-0.504966154432819,-2.005523393099779,7
initiate,6.466903036266983,0.92920340033781,0.20220100048231912,703
protectionist,6.131369441332671,-1.992752498302785,-1.4688317890974616,99
offspring,6.032885025453994,-0.42742291873469995,1.0075306143101337,967
intimate,5.533519233842635,-0.6251797262386746,1.1134835153752258,968
hugger,5.34639501979954,2.319992794703871,-0.597037872397621,13
mute,5.339400162237969,0.1649944939292028,0.5927096453835757,208
ancient,5.333362470131314,-1.4543807058117841,0.593419615956253,6756
recombinant,5.223708530339983,1.3132367171440558,-1.8759892061363783,56
dupe,5.124931692937142,0.9808641264361007,0.4588130236219705,21
sport,5.1030137826780555,1.097992711010847,1.12861083952945,11406
tinker,5.005615409540552,-0.39873601864998603,1.0560768145109753,311
moderationist,4.916731930493825,-0.4206218623415268,-0.08116562321694265,10
millenarian,4.666879436431913,-1.6937533589732585,-0.20852034899273075,23
nazi,4.355298085473368,0.8556453926902,1.6953397239680665,3538
hanger,4.348542146844232,1.4451893399773872,-1.325441345222519,86
scalawag,4.332302445984443,-1.2039816179594371,0.36494092453038496,14
decoder,4.157649162014166,1.2476842195921642,-1.736496607480183,20
equal,4.115679446127503,0.9360905218070832,0.6989907108248439,4058
republican,4.108922247792506,-0.001762062507153458,0.20867315816751383,7603
materialist,4.035261816917145,-2.190336627839925,0.5170970448711207,40
copycat,3.8442657219103578,-0.672302869992001,-0.6447645486692772,51
family,3.807602780083452,3.4887399232767575,0.9948439908770664,40462
positivist,3.7987510474308173,-1.8592378177009283,-0.23630348025823358,51
coon,3.76286496968311,-0.9825143326505104,-2.664610316382987,209
syndicalist,3.7558553944234694,-1.799418496999425,-1.5541692226928623,77
relict,3.7462410434043525,0.07387554197538347,-1.650220031692822,51
pygmy,3.703583949336018,-1.663603678004066,-1.6259917559478836,321
class,3.676736623120429,5.113964135680771,0.8235673097355907,26477
nudist,3.6604900478169795,-1.2766347160150406,-2.3157751013720906,14
failure,3.6464863739615296,1.6728789794650223,-0.34359046615356464,6348
propagator,3.5890353400781736,-0.3882416239778782,0.7097802564854406,12
deist,3.581671765926906,-3.0423296415184913,0.06000425102602945,46
aboriginal,3.57635451427283,-0.42320147010449055,0.49366231338969063,902
flora,3.5015589053848237,2.7449959060807028,-0.4233548544923644,901
specifier,3.4833069180248857,0.26774903652372556,0.5441197245827584,8
