Noun,Simple_s,Simple_p,SubjRelClause_s,SubjRelClause_p,SentComp_s,SentComp_p,PP_s,PP_p,ObjRelClauseThat_s,ObjRelClauseThat_p,ObjRelClauseNoThat_s,ObjRelClauseNoThat_p
abductor,1.1964055084230076,1.6414490753737634,1.2792673344809762,0.9434612986407,1.221182307404359,1.3854370243243574,-0.039759105395453964,0.6193714713450298,1.344041827908105,0.8389851683916416,-0.6056591048603488,-0.0463634999729554
aboriginal,-0.9190825605972711,0.1751446718776889,-1.9275301881590425,0.6546718600915152,-0.7605080886913973,-0.2658547061149488,-1.4076621469384978,-0.5138000082713113,-1.6069667086919086,-0.002527741676468867,-0.01360729420586531,-2.0794537669971
aborigine,0.5434409191600472,0.757719345693051,-1.0544092639431568,-0.3303365093470435,0.21107154699694403,0.9980071354765259,-1.0554168212054504,-0.39718405889320446,-0.8312638908875649,0.2905850018899609,-0.2709693531017864,-0.6914672989791674
absentee,-1.5155563267424663,0.47884159567471063,0.07712899910871604,-0.11306905595837556,-1.7631012454669577,0.9380779066326947,0.13749725947195174,-0.15316846034694054,0.13601166853591298,-0.038740594457072335,-1.2816821090097192,-0.1702889582059272
abstainer,-1.4774936156769403,-2.040492755619872,-2.4642149083377616,-0.457329543134195,-1.7635251607807039,-1.7509540850315086,-2.7477516276578666,-1.46317462603217,-1.7023522237406683,0.22735017305710042,-0.7715831878531769,-0.6526409929837211
accumulator,0.3628751112568785,0.3618913220093161,1.1302384893915387,0.18129529566919927,0.4302633263841493,-0.906309589773818,-0.7999772570379187,0.5806625313582023,1.144898211958845,0.8656908635110927,2.131670982217858,1.2408626022047353
accuser,1.8233059837992758,1.0733137893875322,-0.4102878059547875,-0.12363050456124286,1.9297542564816301,1.785308676432256,1.2130321413518066,0.9229149996499528,-0.7506892159310331,-1.2316865032522,-1.3227285988038964,0.4475685315204825
ace,1.0867749861666427,0.714332671838593,-0.7722854616720916,0.4672142663943687,0.5424060523914987,0.6788883045847304,0.3774249404153417,-0.2404335444787259,-0.6855481330751798,0.6300935592687642,0.05502267197534482,-0.15247161800598885
achiever,1.279934888957647,0.1614890657888365,-1.883379850518339,0.46286228713577876,1.3746328079525991,0.11612198241235683,-1.4980227786501064,0.24604814238510941,-1.5339126291020881,0.5552794450456785,-1.8314231668320216,1.1954144551498522
acquaintance,-0.4164103168854286,-0.16706918104826488,-0.2839386247273707,1.3091534656667085,0.3495744345800388,-0.11126517273307049,1.0639777683097011,1.6275955196714298,-0.5196924229145357,0.44702568083482797,0.4821195529067475,0.7747260279507517
addict,1.0856540299076942,1.3643669241379326,-0.23051845616706468,-0.7339498005304621,1.1119207002202105,1.5518426447441707,0.06371023257609434,0.39681372658879177,0.19845993884735935,-0.04656872266747379,0.04718351687749542,0.2783900571263172
adherent,-0.5291175265158392,-0.6167588965454037,-0.8046815072427769,0.5239493863135618,0.3385641329845442,0.2421171240935857,-0.3947699274492744,0.291221040295357,-1.3885854500264043,-0.5223627040730112,-0.26667507631762777,-0.7811352842949453
adjudicator,1.0688786321921016,0.65092057113797,-1.157402785573927,-0.5747371347105567,0.3247994401742529,-0.6028179423609552,1.8482814254266198,-0.9107603094266763,-0.9979680054141831,-1.2898809624366292,-0.5703699527768553,-1.1690005228739222
administrator,0.19746528780499203,-0.6383894497707192,-0.30928843486462854,-0.62498586092551,0.691422128459025,-1.4234207216746673,1.1638496744605322,-1.2504173841182102,-0.29217977189359734,-1.3691252874553501,0.1074044856322409,-2.0552774160488356
admirer,0.10453569795000088,0.5601536668512134,0.1799324678057361,0.45466931210284345,1.0419141053496515,0.7916585811131296,1.3271990201424597,0.5658250265666425,-0.4663663264270128,0.13930877141087383,0.04228833361295915,0.605931122014695
adolescent,-0.31562421174942495,1.1983430879260308,-0.9000460068334798,0.836244624416578,-0.3351380984156862,0.7714767198683352,-0.9685795992083788,0.5774792565384042,-1.1943242466721538,0.7622222089349207,0.752162625129216,-0.764644630738211
adult,-0.5859187300155023,0.3328930242261848,-0.944904824525709,2.545925000282294,-0.5581178564488785,-0.19288907311582237,-0.2476811043883421,2.2715509070823687,-0.686241793101408,0.3978361104214172,0.005346557192008043,0.8685875604177586
