Noun,Simple_s,Simple_p,SubjRelClause_s,SubjRelClause_p,SentComp_s,SentComp_p,PP_s,PP_p,ObjRelClauseThat_s,ObjRelClauseThat_p,ObjRelClauseNoThat_s,ObjRelClauseNoThat_p
aboriginal,-1.6499609515822184,0.13965134081884226,1.2512137105777117,-0.983814718047005,-1.3130177456991374,-0.5563011736906055,-0.44510132095460553,0.11242739722065437,1.2950122531607227,0.844245905805035,1.4058515799857112,0.2652250210866282
absentee,-1.269187685709661,-0.8163674723332488,-0.07788300832439393,-0.01730590962550671,-1.366253472987042,-2.0535845897955873,0.6569149863807683,0.5265276063862324,-1.6108554568370521,1.151642597716565,-0.5476195500468999,-0.338206410156591
accuser,1.7392830466933247,0.9809407375583044,-0.9346289484731658,0.6649898332763607,0.44728391103328713,-0.45503730631478095,2.239635391906097,0.9224962512395545,2.026105670381548,-2.2268593825116327,0.5343641335563688,-1.056008226197779
ace,-0.34775051950350877,2.01369627879107,-1.6229579465295247,1.4378185143637014,-0.24844873043609328,1.6526304019778784,-0.5975145859855541,-1.6212688653057752,0.8602473560750818,-0.14670345395854908,0.22964199590631884,0.13657339550255682
achiever,-0.8316100017020942,-0.6153335030795001,-0.6583778819098085,0.716105232355491,0.32939472192951974,0.11106388504468197,-0.39579419547288175,1.1686766036212528,-0.30022435508670015,1.590142763095722,0.619257299405925,0.6330386257268501
acquaintance,0.23678680846205155,-0.7434209655372358,-0.5645954954672183,0.7184955650634745,-0.8572152860330087,-1.0780860186375856,-0.3020680085616152,-3.0159862409350824,1.957252677038365,-1.9689566888818701,0.5464189253900869,-0.5998127109505911
addict,0.0493364308765499,0.9753229074697357,-0.1294267497393716,0.026507919012239145,1.812380782411882,0.7070909598811101,0.3531499475917088,1.2201484978535264,0.313624632660814,1.153931390208106,0.014255126706606419,1.7444968785013706
adherent,0.061070205191166994,0.0635444780072713,0.06860271882412661,1.6918161373108902,-0.6132437704629842,-0.4169313337744841,-0.1748334487771106,-2.6275041048951686,0.3749727337133469,-1.7721106650110499,-0.7306267275429768,-0.7261577016255778
administrator,1.1790002813722305,-1.4812147928151433,0.07098167176403662,-0.21943143271644078,0.3326157513353247,-0.4238798285696742,0.5569141226690448,-2.0714217409844777,1.0710888956830322,-1.514424528582742,1.3413447571288408,-1.1078452507656276
admirer,0.2806764220466502,-2.123103603238252,-0.5406876079102463,0.04001654745419063,-0.06240715007612664,-1.4410597097391278,0.913126117860352,0.525553845704641,-0.17733990428240953,-0.4128485751023516,0.29955039558507424,-0.009286597428190074
adolescent,-1.4386743519799843,1.2977944508671844,-0.1206625819748037,-0.03260154138186147,-0.7451500757985947,-0.8947013590496515,-0.12312473545207694,-2.545625412177807,1.8340368354898633,-1.031511185717456,1.1458349688180092,-1.1919501676850703
adult,-0.8155136426144548,1.1131395138147824,0.4574220047866408,-0.3096495692746378,-0.6548998807723614,-0.8435393366281128,0.24604185381469063,0.6224174832119336,0.3524712502961469,0.12495919315226157,1.2830836124796607,-0.6211506324829448
adventurer,0.3609471250890515,0.15783414831639372,-0.689579672068295,-0.5099651792069209,-0.028224379572791614,0.3160445728420219,0.3810305708191924,0.7775982456814863,0.7201903711116151,0.5527820268027153,0.8278571405785919,-0.3970840680888187
advocate,-0.7117028571054759,1.3440139436077387,-1.155057883327113,2.012689796292748,0.27130114891779916,1.1786987412499106,-0.08226026499774283,-2.769569564827008,1.035746435395287,-1.3047733934867187,0.18074837389294493,-0.47083056815509033
agent,1.2457623824356587,-1.1027575517268677,-0.4804754447054001,0.11796079883332665,0.2418996225926472,0.01819471938927749,1.3273312169226985,0.32264413108119594,-1.0392523284328472,0.38852360031540606,-1.5988323159410833,1.4045377931039955
aggregator,0.08835042479176157,0.8622849670598071,-0.7444762237707995,-0.44409394117204837,-0.05044311410558519,0.8401063647513272,-0.5175601917144783,0.8497451744226212,1.5972176865919259,-1.8225606285810254,1.87469777599962,0.049406620726565986
alien,-0.752538663425926,-0.31254016739930135,0.22436260426565802,-0.42428601671920396,-1.1354627463497315,0.8908753293629041,1.0688713925572246,0.4974301014754532,-1.5844401380848057,1.1285289468128248,-1.6876029390101364,1.2577672658092482
amateur,-1.4543062687644772,0.2724467631430783,0.782345573488265,-0.7379849091475872,-0.5024280310560857,-0.23200661270050144,-0.3826734528630322,-1.930898602706204,0.22413946870150503,-0.39487532997000685,0.13697029116164505,-0.515880377633418
analyst,1.1000586752968842,0.7907463533878695,-0.4322638576063304,1.0676446674384419,1.1820963335877352,1.2375230610384116,0.5848676079138917,-2.553783600387504,1.3636815143519576,-2.0389149865789813,0.6016444862203063,-1.3150994884220295
anarchist,-1.6819668956812668,1.5303826846719994,-0.03422963171823286,-0.08531221484641793,-0.6322040281398968,0.8664749441744595,0.21339222663702542,0.3746881918289654,1.0502172136071035,1.298355509488153,0.8117388133612335,0.7401567342548945
ancestor,-0.2217608869214653,-0.21367672778975103,-0.22830939765255967,-0.18780180012535425,0.5658108120955425,0.6735920128723037,-1.9759304869014715,-1.5707014839490252,0.2905173216799649,-0.5999914839152674,0.0513572944615631,-1.0371349084717967
ancient,-1.2555424900466934,-0.6013987126614408,1.081732525076238,-0.7609194592522588,-1.3745370275182025,0.7869815902197129,-0.03347868145845503,-0.14758382994822541,0.16901379207718756,-0.03430003937683505,1.0359107298036743,-0.4152273553853486
angel,1.066440400829295,0.6512595823643821,0.3470284475703891,-0.3724278396103166,0.14587632185157454,1.577191261511786,0.9991208558525934,0.5021631345433134,-1.0305048137890405,0.5038369185673156,-0.7848335840093408,0.029763652109590463
animal,0.9108427569163963,0.5728574191427843,0.6332664949101047,-0.772437163015514,0.8359621493418325,-0.7915623546691444,1.0195852196137756,0.4438661574698709,-1.7796041152336883,1.5321259223759411,-2.708242862441951,2.1216805592312724
animator,-0.7792591498663405,0.03719720699162344,1.210966581353719,2.812313501179495,1.258006909833187,-0.1209397518754358,1.1399962517966888,1.7275571457364212,2.204825252091557,1.326777194714245,1.6863249137995,1.480716944264937
announcer,1.3912073069880784,-0.8485548238254264,0.7274550123865858,-1.1680731097925463,-0.8655009211411415,0.5206998556715876,2.595603137703611,1.156903132940191,1.519523853028626,-1.0474975083504428,1.168310195666362,-0.02997733780757003
antagonist,0.15495617349180632,0.7724728100212437,0.8966911214311923,0.690842403439667,0.6788244235632699,-0.19980342717401556,-0.5898559317335289,0.8786552638761436,0.38538100468952974,1.4267802734095607,-0.3074823490517141,1.6612876200596318
ape,-0.5624058187069081,1.0168786170172268,0.0219597693513476,0.486370938642068,-0.04793140183487584,0.45602760610554555,0.2899999800426821,-2.03666804181679,0.38424860332294986,-0.7314182124681217,0.23990984134649992,0.062048562768102444
apologist,-0.5308320817985194,1.057204727299032,1.334664821260219,0.09665814101848216,0.5698720378751294,0.2716009118248812,1.8802088300082938,0.640645226038507,-0.11521761465298333,-1.2026165137032843,-1.4886491409292653,1.7103821400680457
applicant,1.0072605050705878,-0.3501221043950035,-1.1419829491913775,1.1402192042217678,1.4829409738302854,-2.919372516995657,-0.08973100837432207,0.5037084903749689,1.9944758879394064,0.29209062367389177,1.4138618774042884,-0.19733743732529657
appointee,-0.0676507965128419,0.22589866104860934,1.1892043177756757,0.03630799217398579,-0.2955990717547425,-1.5630065952304806,0.1726505811337764,1.0253584705987955,-0.17859684225767464,0.8440512553904898,-0.0774408408438561,0.6638649391192226
appointment,-0.07412161307534673,-2.4085221378679997,-1.4548013248578338,0.7979676194008061,0.3190737644510405,-2.334961414645118,-2.4176661251840703,-0.920981911575245,-0.15439711143947196,-0.9010859181115405,-0.39118711398841133,-0.492095075476806
archer,1.2781158840578548,-1.2663892922069369,-0.6198854550420199,-0.31343039875524037,-0.3447636373118151,0.12220267801421034,0.5746704598590588,-0.6648684823835935,0.9996697586497207,-0.5075882158372464,0.2277318070174305,-1.573899923620156
architect,-0.6998195227980682,0.3369715023012173,0.9506506138724856,-0.47635614254656106,0.5274888502691262,0.13651456254213334,-0.876630970074328,-1.0494151125672238,-0.6038716671630632,0.31916242829289143,-0.027298136671411732,-0.256473165319228
artist,1.5091786807624026,-0.27350790636898537,1.217449022028727,-0.4125202165382626,2.5165519448644753,-1.3935366772836182,0.5693827795081816,0.1479101341021564,-0.9781381116353938,1.792249263830655,-0.6970324311182228,1.8210519103820109
assignee,0.2103295926288499,-0.8273910359516746,1.1693436434242894,-0.5947404891133503,-0.6263148351822694,-1.788906208709359,0.5049376008194393,0.44298069736314705,-0.18365831924352144,0.6392169798699315,-0.32221643398281874,0.6628632134985046
assistant,-0.5634417436678502,-0.05293617512056809,0.47424589604565076,-0.759025579969317,-0.3194955787433861,-0.17811896423965942,0.5335309868403693,0.3077244260684423,-0.38407026304584846,-0.2013363964836806,1.046255416196118,-1.6906397965263684
associate,-0.829224003567289,0.5750601207478457,-0.4883781946216003,0.6012987710111117,0.09201825968588437,-0.33145831976206774,0.03943205703273567,-0.5317496128629484,-0.22183864843916162,-0.3824015091264399,0.09558827706451276,0.43741673896582123
asthmatic,-2.132176285840047,1.2746634073753167,1.449131535855403,-1.6105979679136146,-1.503190770907769,1.082862035537962,-0.04108964820928834,0.055235537883494557,-1.1741608447641343,1.224226128325822,-1.1909464454768282,1.44976244553032
astronaut,-1.0586512734994797,1.743173569259939,-1.3751336716862212,1.0253560839190614,-0.2549549410075677,0.07681726650891291,0.5524576129273328,-0.21723869547103908,0.5423700701127008,-0.5787027919186263,-0.012533222884837103,-0.8967630284022683
athlete,1.4255825880755006,-0.26626107254436304,-0.9875661773979572,0.7100905451588012,2.385093729296095,-2.504623068612352,0.5422544548382052,-0.15114558993776583,-0.6495978539224576,0.34280805701099837,-1.039213933882412,0.18368761779343246
attraction,0.5352395861898668,-1.4843664448720546,-0.10295258875748545,1.7144544472129266,2.6147451788179437,-0.9817975514762656,-1.7008815250790095,0.2413523213111609,-0.3504054280740814,-0.28649847503680675,-1.0363093603871136,0.33219792457513597
auditor,0.013450361564697077,-0.9083231348263229,0.03304926858622727,-1.196954970447667,0.017886924244616353,0.16457771484466913,0.21618827120878106,0.5252291086138402,1.2967959718288504,-0.5532576496492914,1.6069795229966282,0.4237169669983301
author,1.7298153021663198,0.7268945814926817,0.730534113655777,0.7365976853503239,2.677508577522161,0.8126038634059812,-1.0758056144073058,-1.1530888865262554,1.4721978180113586,0.3275010189281846,0.42557091647325285,0.11952351400882891
authority,0.7966421346446978,-0.43751504146010234,-0.2135499319067071,0.37654553563433935,0.48052041636034193,-0.08703633393167749,-0.12183607546826426,-0.9178502056545552,0.4589809149050321,-1.8977836530542385,-0.39496654629796873,-1.212162931089364
avatar,-0.4714067511348853,1.2264523224926915,0.04978308380343342,0.006096499313857903,-0.46981250747591435,-0.1949633116756193,-0.02142024343128697,1.730779937610178,-0.46608600430843683,1.3970534855542138,0.06180287333452872,2.240880553915098
baby,1.2957118401444034,-0.39613193754335524,-0.67781887011124,-0.2013245477528159,2.668951596223171,0.0013024199395965993,-0.060733346106600514,-0.2588415094416665,-1.1048534892320194,0.08595266104142073,-0.47424889374798873,-0.500026776930635
balance,0.8011295997718261,0.8443068919612059,-1.3164684589515812,1.8215609919166893,1.133965925237845,0.8414624068540497,-0.3658261127643806,0.045445409652810076,-1.0144501809221205,0.869514052687553,-2.019663659917255,2.1259835175774495
banker,1.23265803608274,0.6991375342964632,-0.6268761469451398,-0.1021652145376121,-0.26285177436253815,1.5594024703184584,-0.02180431606892015,-2.002557448456066,0.15429950433069545,-0.8497400163964367,-0.19694414462668464,-0.3093747633361437
barbarian,-0.5480615019743738,-0.7804307728914731,-0.12657090600283447,-0.20363399609691685,-0.3475150299739209,0.8342021508077877,-0.4808504232725781,-1.7834680900993711,0.049478338277813554,0.1814489787346548,0.16890252124240984,-0.02264415511698381
bather,0.5461100626674257,-0.057564331735082803,1.2854672242102003,-1.274604142449331,0.18653582390299872,0.2882194454607224,0.7040642725743216,0.49046825903543145,-0.5118395293631072,-0.158960619706133,0.43939869503345397,-1.3412942722292596
bearer,0.7928277559120854,-0.3730499884496947,-1.6419274579014884,0.8156127598310741,0.4310640802239047,-0.9235049398380468,-0.01911915433841755,0.45763616947069996,0.7972998069185346,0.35187644326691214,0.7571887514884772,1.2598210307545328
beast,1.1812705091227156,-1.0289010326807035,0.09314874344601612,-0.044494821270639355,0.5902244618595209,0.6294230502219392,0.635451457598589,-0.2231199607457534,-1.9161187730439653,0.9698641227409216,-2.9724555796866374,1.3599090480630238
beater,-0.36759025219947544,0.10088804915382393,-0.5921729093612406,0.07872628181409592,-0.470009028365306,0.8363512962454956,-0.029465467825753017,0.36843290243836335,-0.5143660262759426,0.17805767990630667,-0.10457443724632387,-0.5322080270996685
beginner,-1.0785263621171588,0.2822859255883822,0.20036526465735643,-0.44141697104287214,-1.3473623170670237,1.2611430665349486,1.2776373409827952,0.9220329099094922,-0.8395032302242701,1.7041150145075337,0.6024933405943622,0.6214475570988831
beholder,1.3380123516348814,0.015258612934949395,0.360299604862468,0.2867333589901094,-0.5364891389564693,1.0119470713340517,2.512059356201921,0.4903526440054393,0.2955629588805412,-0.6680398117032298,0.062057806934254126,0.5136296125796875
being,0.13839086904010436,-1.4759370503224465,-0.03871487362653664,0.6086714190642245,1.2579391861594038,0.08717066851024705,-0.7781109754397431,-1.0051062422513144,1.4539664113512811,0.1899620979640387,1.6737303668033268,0.938207854688612
believer,-1.1417521734380338,-0.41054605759126156,-0.9675673262909614,0.9050307635342127,0.30522089299572264,-0.4558090328433283,-0.0198589072442343,-2.3858104551654193,2.7788046222883853,-2.5131143705086547,2.005193869642293,-1.2791032755880982
beloved,-1.718687489792679,-0.015650833149536802,-0.13501579139865377,-0.01828219045950038,-2.0068392579481973,0.41549861320735787,-2.4761943045465253,-0.006452935439702295,0.9869726229656484,0.8879827263507585,1.7141109594734298,-0.05690109982762676
benefactor,0.776268069633177,-0.8382047565248656,-0.5193568964835787,-0.14963934335652918,0.002600164284223508,-0.3519460821862581,-0.48632498713842154,0.4827172270315041,0.13017608161118166,-0.06494762024278225,0.3839226125883932,0.4329480776636438
bidder,0.8629571245495694,0.41528873505452424,-1.0889527178871983,0.38197954372083254,0.7915688633721261,-0.6800902220452476,1.6105477300508164,1.8118439524933865,0.6960803204236317,-0.49838613841214496,0.6542257343993456,-0.7141201683298596
billionaire,-1.0133528220643782,0.7451266834113948,-1.0427329477138148,-0.15150098178017576,-0.1270268861757337,1.458928399895812,-0.022306179432229872,0.5988387904733524,0.7307673120579877,0.8710537250903628,0.5826911792154219,0.7267386401427541
biologist,-0.31668967711772583,1.027420489787783,0.5919396610800529,-1.793687944870268,-0.5264106928718588,-0.01748341138184771,0.9149490522309756,0.6306757080582093,0.9284603591419496,0.06540500280607622,1.1799985040336205,0.07786663025779762
bisexual,-2.1226930590196402,1.066186882400712,-0.4270803819081767,0.23517706083871076,-0.6183400753639845,1.2805532351530575,-1.0283025258899596,1.1021273208522868,1.1192695678577687,0.780290601504197,1.1916584240905765,0.3303203244514676
biter,0.254679540793966,-0.562079387878986,0.3017881852972558,-1.0134407569460904,-0.6892499808180038,0.19548571515629226,-0.4908430987435397,0.07692766679731794,-1.0310583662997874,-0.04577219842671462,-0.40957797213554875,-0.2827440289927093
blogger,1.7369747146320371,1.0180794496641756,-0.21835775043049238,-1.157071249441069,2.0340304487066696,0.4423310200961217,0.737878131123992,1.382238647689399,1.6380685878010026,-0.9963120731188337,1.2816400415444114,0.6037679042800572
blonde,1.260577081572703,0.06176999838484377,0.6822009160127572,-0.6028181867598463,-1.0857906713577923,0.4010014751905049,1.3546980213273059,1.02855830458159,-0.7483318019182311,1.4925937311893516,-0.7584736471862508,2.2327343430344726
boater,0.3577198097841104,0.8793776208993734,0.4754972195739251,-0.32108313434639585,-0.10467444714541643,0.4654475678993988,0.4155614762855576,0.7048275514471116,-1.062513892199838,0.42726021327505187,-0.43706582293882773,-0.5301348438676652
body,0.7938908077418172,-2.254592585515349,-0.6721792209797146,-0.5839238712822402,0.8596677599411993,-0.26628149564127856,-1.3552620219976799,-0.2001406610300184,-1.1798618942198793,0.7665821027820854,-1.9802060844811002,1.6152208548366587
bomber,0.5562522561453404,-0.2538247489705152,-0.6904846080724674,-0.005298202972394431,1.8547367079364425,1.691571824145817,-0.7046470829576557,-0.010614409960472367,0.06477013613150037,0.23181304162148686,0.6118648009731198,-0.873279318179066
boob,-0.3266719379854973,0.4841226592669236,-1.694927377528804,1.3210655956750605,-0.21200130173304343,1.1983193676770068,-0.1515331405572955,0.5236798532866019,-0.6668033289580206,1.3971837622903038,-0.21947075865932536,1.9542609182840662
bookmaker,-0.4453884926075619,0.8130017755632447,3.0200153501288787,-1.7757809392921888,1.1529995552970989,-0.48592430912950524,-1.3284137744997593,0.3506387631071568,-0.3086471737715518,0.03214254581061035,0.09344770684693654,-1.2615381576814402
boomer,-0.2510553491345313,0.9372282985516897,-0.5748741796351942,0.1983370446909295,-0.39764756519207844,0.6943644997712608,0.40675620877771523,0.5241097655442664,-1.3494626975211435,0.9651035363379574,-0.7755394554689208,0.7499041780645422
booster,0.33190843423053495,1.3047530042318614,-1.3415148574264064,0.652720723185021,0.06280565317854765,0.9266398386126257,-0.0812347706794079,1.6707129659134194,1.2326206595562363,-0.36831321594287053,0.9615351328919071,0.8202137432113625
boss,0.4946828085041958,-0.9520175836001917,0.6177371396766117,-0.8318182538992356,-1.0039603177669694,-0.512938679803816,0.32013442356693383,0.08296062251984698,-0.6933285966896524,0.238104414284885,-0.605117684149371,-0.8103839674074552
boxer,-0.06741343918608933,-0.7699545005577201,-1.0189585304716808,0.18293594882173342,0.18403278140439344,0.016743347805284917,0.3536864116758187,-1.394614926736939,-0.033585558523695366,0.3349051861340736,-0.2705853004454564,-0.36074087132499855
brawler,0.7559201707180945,-0.9168948640730595,-0.47668809207936425,0.0928924606901981,-0.07939135946141516,0.2393581481827606,0.9223550617897209,0.42838971188549957,-1.7472044734980068,1.530875256728075,-1.8707363381390354,1.5173927065673354
broadcaster,0.3427559596002076,0.11690562444024646,-0.10570304079230679,0.5325003873635457,1.0774094695913163,0.2794666688617429,-0.3109127957177924,-2.1957492374031857,1.6650106838119791,-1.2142090252441728,1.5250022993595977,-1.3394040872753166
brunette,1.4233542543689033,-0.03617510020688399,0.43527659169680666,-0.26968302932086413,-0.6708602708929969,0.02687627027003052,1.080922920429566,0.8360972671864718,-0.6135416164701406,1.5160476016269075,-0.368874094087502,2.175163464403882
brute,0.8477403778082053,-0.41004679904439567,1.0603158959059837,-0.6594872177049662,-0.835629110254396,0.4027539270893823,0.5347336514136136,0.9608659316942293,-0.7633145101987919,1.7956406350461322,-1.757873192129152,1.7624773428433786
buddy,-0.8095980407531002,-0.3993370466299256,-0.37951812362889464,0.12900402865489022,-0.6256451604815845,0.5340190410459605,0.4995384467410965,-2.3975689729108667,0.5516317554833478,-1.0534137653314888,0.5821956001239688,0.007265113526085443
buff,-1.309283852006397,-0.2815101465143207,0.28368109679535336,-0.8185030883569683,-0.6446478680079465,0.8643324922863628,-0.47818975986478063,0.4325197689832337,1.53344348928452,-0.022594448619227055,1.377680906767273,1.1621748923765014
builder,0.658647803906794,0.129031248410195,0.1821675150084068,-0.5759014429563407,1.0624632946988695,-0.14594947043357445,-0.46909563643512436,-1.9903488172676878,0.2801493176179174,-0.3308415929315954,0.3848757925704477,-1.032695983005631
