Noun,Simple_s,Simple_p,SentComp_s,SentComp_p,ObjRelClauseThat_s,ObjRelClauseThat_p,ObjRelClauseNoThat_s,ObjRelClauseNoThat_p
aboriginal,-2.1475677609551287,-0.21012478517084954,-2.2336254552648844,0.03803462315757496,-1.6402615475380498,0.2741396723364461,-1.5754171640178893,0.16714556931389424
absentee,-0.1629879832533831,1.3229963675355392,-0.03196480883647851,0.4762344428293972,0.5757104432719894,0.14165616386825983,0.09408848092696787,0.497765233705739
accuser,0.8772852851591839,-0.4572801259483824,0.9862324329103511,-0.23927313555465493,0.7929546645654253,-0.7650714076128461,1.0760269811877947,-0.209926118494324
ace,0.5123493409102318,-0.294296940414606,0.15945660474483977,-0.9776709985216931,-0.4517513700218137,-1.7728549157073963,-0.06752337114467208,-1.8483703014571513
achiever,-0.006012097863344701,-0.07140038641314368,0.3586926560917454,0.3034950553998054,0.4005743364559288,0.7528503019581041,-0.15467116230960928,0.6013644959700226
acquaintance,-0.2200350719814923,0.788618853210321,0.005412939494206903,0.5756127639741271,-1.0180709879048082,-1.3308524384431135,-0.863830735541643,-1.018343841496288
addict,0.5960733609445892,0.4604014371968887,0.6845293932074756,0.13983111223413439,-0.9471532051138076,0.9865675931046853,-0.6028044425510056,0.7214041039488797
adherent,-0.2341285116362458,0.28459515702423327,-0.13188083310695908,0.5119815755936412,0.564209469212172,-1.2213588433670728,0.5959592478404019,-0.5133777900282234
administrator,1.0437191037527562,-2.7417431254728584,0.853034850130338,-2.7685144264410475,0.061463705118962625,-1.9218711707417704,0.5911671354331378,-1.5923774777689559
admirer,0.8422731193646777,0.7525487247250172,0.6677570818519621,0.21932495128723503,1.2708712754922438,0.09565634825667603,0.7440315995084648,0.31330218286610534
adolescent,0.22390340349378535,1.4747594864091194,0.46495455002708863,1.0051939681803135,-1.0690005190516936,-1.1928564367898842,-0.8909571360123199,-0.7216254986752049
adult,-0.5546731753449331,1.9207963314395895,0.05290014626414403,1.3684292435154912,-1.0154927039416912,1.3806714087079246,-0.7588214033961276,1.3914053144074106
adventurer,1.4941649365814678,-0.3105824283436421,1.2216123671359824,-0.42964959766895167,-0.9937718740016571,0.021938910361777808,-0.7730107774955146,-0.22010001001248722
advocate,-0.10650684928425386,-1.126428116303654,-0.19244951291724854,-0.9409173588293811,-0.28539971108515105,-0.9206517197310617,0.03808968319840565,-1.3264456647541232
agent,0.9451835342512871,-0.5331285527584688,0.9441762152189868,-1.167355603515117,1.6935281664368285,0.25010180935888837,1.883267892703871,0.5887529450053987
aggregator,-0.7111128694837698,-0.3465802508022784,-0.726286061739694,-0.1708130635453508,-1.2536587052495454,-0.11785563238268512,-1.473123031522106,-0.10472719539887636
alien,0.6144218719855026,-0.8407740241561396,0.030237748398408884,-0.12660021424066942,0.6376657822667855,-0.08346227824175556,0.3864181800033244,0.1600538865369494
amateur,0.37054637046565325,-0.8944814771652344,0.5435434736491167,-0.554180749561165,-0.5212892204610141,-1.2713217419424216,0.10059164938147891,-0.7282791539838533
analyst,1.4191992539043317,-1.7531039930497037,1.1418219008190538,-2.2601366824669036,-0.11648760575080838,-2.7246103383306313,0.3349707087459389,-2.4903762738616058
anarchist,0.7798529571943861,-0.8292709813333033,0.7871137788061694,-0.8184450735569393,-1.2809771642555137,0.03462118690997042,-0.8911949085393915,-0.2932880142965939
ancestor,0.08687372202943491,0.29867124553650554,0.16943904127277815,1.0004226410929118,-0.7991390668280896,-1.0129826656221117,-0.351195188060595,-0.9725773017811394
ancient,-0.14303507079967404,-0.23376074666425017,-0.2971741298434195,-0.42902480211896243,-0.7410126027519084,-0.028733073619942054,-0.21474099552604384,-0.05154635963622564
angel,1.0719102097526443,-0.7747295735511944,0.6805493294381604,-0.7780301792038559,1.638712261539804,-0.5867568789447162,1.5320431568480375,-1.0171221279425386
animal,-0.6097531311072136,1.84968049689768,-0.7562754286276939,1.9736810181064226,0.5506501180816344,1.2947622860411887,0.5091070648214057,1.2004326795821645
animator,0.396045330918986,-1.7363739483332576,0.7246987048829988,-1.3155043961022164,-1.2405493464721027,-0.37887925057478045,-0.8645915079316753,-0.9392373745875756
announcer,0.1968265694724864,-0.7989814867970387,0.16221949079743145,-1.3242316018548674,0.0904893282878794,-0.5330376642485367,0.43649895198513977,-0.44793891106421957
antagonist,0.430609849191477,-1.1322892037348586,0.5153713351235236,-0.9514429364671428,-0.247755581814715,0.048831010068997316,-0.2497260860015419,-0.3497130754955632
ape,0.18644560159161472,-0.024003212364419848,0.1189038126854032,0.5564344288376545,-0.4984022182818534,-1.3727850591973718,-0.6244572753386637,-0.9209207461836662
apologist,0.8924521920807658,-1.3424851076841424,0.9339172721888511,-1.6030684664901713,1.4697942652751377,-0.2771072937924326,1.986783262040086,-0.3569401372477976
applicant,0.44758321985632893,1.596618195201152,0.5920911741895827,1.6010727747610076,-0.7187458362446656,0.7338119378353443,-0.2613188657880354,0.2086079620492071
appointee,0.8832523868026801,-0.6041992928530215,1.1684524140255244,-1.1638370953755235,1.3600163055847696,0.3997892799382454,1.2495705645847084,-0.04357660366790901
appointment,-1.2791778748959535,-0.43156559478637935,-1.2283182029095023,-0.07511953030873708,-0.33737483745856633,-1.4000866847488267,-0.561861828909353,-1.4233656670381558
archer,1.5430476699979994,0.27016359630821,1.1142572394638495,0.2186327848742626,-0.5822629994024839,-0.7304546133355159,0.33661709208608154,-0.18075279673654387
architect,1.2078321184151164,-0.760612956434467,1.3019946338752915,-0.4469032426354982,1.1839831924066364,-0.6460459324970209,1.504338915659639,-0.7840029687619313
artist,0.6081304654942337,1.0247828840240816,0.7265056652722663,0.5988449576165814,0.9151034063913162,0.479785563922697,1.152340551587848,0.3707514980336178
assignee,0.631357693685303,-0.07592536358757174,0.4808014208341488,-0.481931805181358,1.3208891422370856,0.6882367690890898,1.0539497473100186,0.9814267489823758
assistant,0.49920467243032607,-1.631502130730668,0.7414415221193033,-1.044210926584342,0.431443086147965,-0.7810032087882133,0.3291946907844641,-0.8611413858937631
associate,0.3008902959546071,-0.6219735248817946,0.5620084411359776,-0.7147095300014432,-0.2297248541948737,-0.7065079187839172,0.008192332508045908,-0.4165387950817599
asthmatic,-0.023975473800449808,-0.17224043395515837,-0.14327641988808287,0.23666991146208843,0.4288694826316278,-0.3212326887049151,0.21531611163132866,-0.19940495104606928
astronaut,0.9804833987619399,-1.077211978626898,0.9579294996511223,-0.1138500131257193,-0.586729675538505,-1.3801854949314043,-0.28878685247189595,-1.7667505627962292
athlete,0.8807294480798894,1.911893984492413,1.0842566348271871,0.8561105580544196,0.22249508195425124,-0.6272355688887268,0.6316605286652418,-0.4605049528151022
attraction,-2.1646740567940297,2.2152417898830015,-2.624409734935673,2.550884162549372,-0.5843280765471681,0.12025376749673117,-0.7316209907892058,-0.16183616261771772
auditor,0.6815521538304622,-1.4742564196717745,0.6931420516249445,-1.6946584187287916,-0.8861075649592833,-0.47542174293450123,-0.874945422557627,-0.7591627183390561
author,0.9223306025598124,-0.46743815040430087,0.8573000094057449,-0.1402442576715523,0.40988022822714365,-0.6247894890307852,0.268912925106886,-0.5950645150370653
authority,-1.1488419247302233,-3.2190841546994764,-1.0696730198216136,-3.51324607414967,-0.23784235854638022,-0.9671909827673691,-0.24117442112117976,-1.1317868625425431
avatar,0.10482503896971172,-0.08281844540529197,-0.10827448606835194,0.11595493324831914,-1.039939088370047,1.232317470658308,-1.252053546538682,1.1880956660800979
baby,-0.704499095580253,2.2689109664794627,-0.6657814099979575,2.5685902542131043,0.30680306072083247,0.8641238448711115,0.02393261392522289,1.5074762031249884
balance,-2.5549652896264337,-0.08437410116130578,-2.471916804783266,0.11527738849323022,-1.050502790571252,0.10914946044896257,-0.9059232669387363,-0.07165347468539068
banker,1.4680687605277478,-0.5874842716979228,1.2697823424219497,-1.0819194859365697,0.040390250597981445,-1.122865898410296,-0.08645719015212987,-1.4523039820008676
barbarian,0.9979984929214586,-1.4235509255341356,0.8696420672937402,-0.8624478536962359,-0.2882161610231492,-1.7536703490786865,-0.22613760068252112,-1.0560397132872876
bather,-0.14857870477025764,0.8215806476334767,-0.1204715720850077,1.1719205384230391,1.186567679978392,1.8313497020772318,1.0517347447184182,1.5455466511584184
bearer,0.5578750769371282,-0.2823116786492783,0.5076941783306459,0.30708887336491547,-0.9181872064596854,0.9102964419075898,-0.5397942502596847,0.6889197566377361
beast,-0.11750024586693676,1.1139115958423818,-0.5811939939099326,1.5122236072449806,1.5133941968204092,-0.036578406282702924,1.325117707852168,0.2754128596796439
beater,-0.2062179161347683,-0.915378198261243,0.13044409283370278,-0.6129388874972921,0.8566140119051624,0.24988423238442672,0.6602695091808457,0.134457105186152
beginner,-0.15664370552934828,0.48778172721852275,-0.06794325354522102,0.18505466815413657,0.5644170378295602,0.9583704659585803,0.1621163694218854,0.9676281918483232
beholder,0.6568927223399798,-0.5695703645010723,0.4091081806579951,-0.1764558271382809,0.6528949861141169,1.0964705739292517,0.37285499467766003,0.9345144649599392
being,-0.5702277006190389,0.6326487567767796,-0.1351196092395446,0.8231467613392542,0.08206195224820599,0.021689849855252408,0.31396510545100237,-0.27998455072187567
believer,0.16074229975755686,0.3376470395483573,0.11656259329941428,0.3189633874295914,-1.201743447515673,-1.0845612683694315,-1.3114958995249824,-0.9333140480264831
beloved,-0.0302500633615022,0.7643808767003558,-0.13812489298328554,1.1010021363077747,-1.3917538897194945,0.4543478888750645,-1.6518832032908228,1.1067839108773267
benefactor,0.676527490602153,-0.18333096538460555,0.6330010906377417,-0.490677926685257,-0.2091475082252276,0.5199059675964767,-0.3572202604293604,-0.12415716753099354
bidder,0.3496491775024138,0.1615342603334261,0.134681111739082,-0.1572371948034047,0.7105878123568117,2.0830756805815183,0.6658309196579175,0.6604947653713951
billionaire,1.6633506466031973,-0.10484477816224144,1.4015661406496047,-0.692814762069536,-0.8432546160313944,-0.12184661106917115,0.05171826142584002,-0.1967010298939626
biologist,1.559434070268439,-0.5341969159021821,1.3065573266902761,-0.7133703931861273,0.010827728239322876,-0.6717498346590463,-0.25749108812019805,-1.174638039659957
bisexual,-1.2286753779845798,0.44204282121140653,-0.6491808883497869,0.21427441261823862,-1.7994588671193887,0.9103730312833367,-1.7344650120184046,0.8387308166499154
biter,0.24956059329138286,-0.20282773534264306,-0.012151487008449665,0.3501603693255063,0.7380213184504643,0.43732697369109436,0.5133728690598276,0.8108796811748125
blogger,0.12065118598391321,0.3113065519605882,-0.14754469818405438,0.011339770768871278,-1.0233618737801913,0.840725234801067,-1.0586365005577698,0.40845954105773913
blonde,-0.37869174267862205,2.1232629674897057,-0.36710576886221064,1.7381664825934706,0.44221551772381795,2.6934603835877415,-0.08264242604474237,3.0505757474296713
boater,0.2082592621806827,-0.27937781073333173,0.262354442031401,-0.15703994758181777,1.5604811813337482,0.8579397683244727,1.33593140486741,0.522193751514409
body,-1.7378236801215636,3.0108731726536657,-1.30449569200712,2.208094129585299,0.2222471217823665,1.5790836380560136,-0.405921056472924,1.8516752919908757
bomber,-0.33572022596294376,0.06735355309531141,0.3713610123072143,0.0983926762063555,-0.40758475507968417,-0.24958438902814367,-0.6691213664571118,-0.5479660472950447
boob,-1.672300704402079,1.6335563388064567,-1.6297494806313217,1.867077868143969,-0.43409497270367803,0.8951806929501878,-1.0081583694908633,1.4819938181975039
bookmaker,0.1445470153440329,-0.16244526047008379,0.28399871025802886,-0.4673997322562695,1.3542013470786998,0.2722282478893999,1.4821631260514145,-0.5299724681225435
boomer,-0.5943243399010735,-0.3690296709964756,-0.49550630202809204,0.23330277945667682,0.9902736510525982,0.7764672468356549,0.7124221791128253,0.8727566697524916
booster,-1.1355919399326357,-0.35449844808993336,-1.1809503043151723,-0.03355880881558696,-1.0956985731885343,0.22835369585729182,-1.2200720852477656,0.561683128178994
boss,1.1056805206344602,-2.0983489801246353,1.0097710973626561,-2.2664984341391037,1.1211381010902848,-0.6376344816481387,1.708019825216296,-0.7517723880040781
boxer,1.24643410781968,-1.647982686084378,1.5952786354293331,-1.189837085307972,-0.34053458380866675,-1.7841874202390544,0.21359132783626428,-1.5241497265271542
brawler,0.9230244016044838,-0.6353572256902161,0.9270057814431404,-0.5451346079229749,2.0242769291983054,0.392848661215037,2.2147856747902757,0.2891749245593906
broadcaster,-0.3769252987864399,-0.2279021411499529,-0.2423354516822675,-0.3569162295803532,-1.1338079928708993,-1.0567160784773124,-1.0609165978761719,-1.5829411548255807
brunette,-0.83920652684357,2.6973635594028837,-0.9747680106476415,2.103230270175697,-0.12703655406695064,2.1606437291918352,-0.8585672159842177,3.5774814407530506
brute,1.44927307852529,-0.9894217604787817,1.274457925903086,-0.8526739075716728,1.1778666497404489,-0.690634123285538,1.394765621623707,-1.0822380852707083
buddy,0.7934914884311189,-0.35849971460108,0.8835185164270551,-0.9170694558027401,-0.6209723140838534,-1.9217227446212768,-0.5783002451137805,-1.1239782320190765
buff,0.10269775824821298,-1.7846369118825538,0.01574512860971211,-1.8550482056528244,-0.9248032475507271,-0.8875810714173582,-1.120370455308142,-0.8393288203906708
builder,0.9300394936635697,-0.8705549070072331,1.1868232595843917,-0.37201955161918987,-0.09782973845713684,-1.5243390553399554,0.3723092487416576,-1.4970379812681625
bull,-0.2601098681311661,-0.650986369644986,-0.45865383368997364,-0.1548002397994429,0.7456276407931836,-0.597297035954879,0.753370393073596,-0.751142196646593
bum,0.8438967947152323,-0.1413914725406077,0.662220551120025,-0.48615191936113406,-0.055204316596678585,0.07028229667754378,-0.2501257440388959,-0.3437194134096736
busker,1.3162342444619544,-0.7656842632369284,1.5840332556974275,-0.9510629566033306,1.978822453578657,-0.18894243871593033,1.7557763186122948,-0.8515318912929792
buster,-0.19750633831886555,-1.4965401966076612,-0.06910480661613491,-1.3206363637741458,-1.2574035643851125,-0.8297114953548204,-1.1668459950638386,-0.7063109450956337
caller,1.0156450897078544,0.9763883726923822,0.8199306762363239,0.6349385525410185,-0.5691555609624209,0.7918528715646995,-0.5120983016995558,0.8173348014412284
candidate,0.3709927000995852,2.1955964471322043,0.778976265539923,1.563147446391274,-0.002362471809823994,0.27462085967113375,0.1445098377127834,0.3571962127137796
capitalist,0.5445646808418907,-0.8132040388987233,0.5230812485724728,-0.9376080163785598,-1.0154605453284724,0.16002693346904587,-0.7137886773955723,-0.28820230784162376
captain,1.8263753662595033,-0.26831190763806206,1.6573660916525463,-0.7774528475693689,2.0400498037515327,-0.7278512570840066,2.312704336183052,-0.9733772646183907
captive,0.17119093548864428,1.4883184044407864,0.18120481764155322,1.2058740643714034,-0.5379194711160644,-0.23375570581211658,-0.23925324646410487,0.28949035215941077
captor,1.2849955180548458,-0.42427656587419005,1.0770602420962168,-0.011950953860743942,1.8044549608362317,1.0665884848201928,1.8393946645046768,0.6943413178726344
carrier,-0.8965876188923086,0.5909351981374027,-0.8193052487581896,0.2609076736019721,-0.810035730409064,-0.812859103548903,-0.8771493060912479,-0.9081521166626473
cashier,0.1686403592896584,1.158572304048113,0.20391287862271168,0.5700026012176888,0.9699894364226578,1.7247822161586592,0.22670108626403324,1.9961542177859715
caster,-0.008082582600153541,0.09245620888800761,-0.1317811388002838,0.29185136907954723,1.0217829557329534,1.1655915477128034,0.6908231744870883,1.1438102297243407
catalyst,-1.4367396715169296,1.100576352065012,-1.6500198855256292,1.1945095856030297,-0.6145554360434978,1.45899600093128,-0.6101841622890707,1.0073942514785816
category,-1.952219735847299,1.4220965072898826,-2.140700356269195,1.4648493107801257,-0.9164869506137743,-0.3865826335521073,-0.9902653618096698,-1.0667937591737042
challenger,0.2457553646471838,0.1103341798069035,0.4214251309948521,0.10238468997181446,-0.5361489094021608,0.7151020095781673,-0.6192925719965203,0.7731218712247043
champion,0.5160244509556251,0.6732128209979725,0.7013944108715975,0.30650622737228983,0.01625207083659672,-1.1721864790344303,0.4989776179461036,-0.7198236491823718
changer,0.041272266781021145,-0.08293354731215587,0.028027574701956853,0.30046603273314915,0.8293803225638079,0.7965597612420039,0.5589210547109387,0.6604162626302912
chap,0.7469400215130494,-0.944955509991681,1.264056006336102,-0.9066846639679162,2.4222299064114203,-0.15119187500476458,2.5031149719360224,-0.5907168273808955
character,-0.22608120871740126,1.0293118396440746,0.21731221053113864,0.9620234169976157,0.4141492296890267,1.1642503043312398,0.4644165188216114,0.8852733730904867
charmer,0.9337025806097372,0.24232727522561864,0.3390404468571523,0.01387304671666093,1.8135367920400742,0.43628112284837683,1.6381356209449507,0.799191238300199
chemist,0.9274149820988319,-0.7857957608858371,0.9774274830305201,-0.7979294339148835,-0.8851914565174146,0.33514377890394126,-0.7053592249648435,-0.2628185826776159
chicken,-0.7348173372174382,1.1601020310678005,-1.018203596728961,1.4358756944873383,-0.7087460797289882,-0.8545335261270017,-1.0612400914966658,-0.21968957349644025
chief,1.2281305192481209,-1.163290868388136,1.342855157171734,-1.2310583477093655,1.062528456651239,-0.6966771778930703,1.732716075985257,-0.6918548096945798
chieftain,1.0235578851241423,-0.9562823221271793,0.891495772827352,-1.1857451241584742,-0.03963323406893293,-0.0880011797752239,0.23820205630506108,-0.20459570502357094
child,-0.027030688136384193,1.8853130497068395,0.20522169531665507,1.93512813029715,0.5893295097892839,1.5194980242157259,0.6659769974655416,2.173418852606672
choreographer,0.596792899995057,-0.3099127119507424,0.5442402762852994,-0.4747113524295916,-0.7116360297533504,0.05950778427178069,-0.7361014586331909,-0.014793687353464202
chum,-1.0819776014062412,-0.4935426940741038,-0.8361220312097637,-0.6252664535155255,0.41557265016539163,-0.09684895411989607,0.6267809574878187,-0.8669607365639029
citizen,0.09741763707384837,1.539737824326566,-0.31894217466111685,1.5359637650116171,-0.4655125819918169,1.4196378869176023,-0.26243863417051927,1.1402597780992092
claimant,0.9934010534602451,1.742427545650147,1.1369610459414514,1.4711617483703021,0.4279602286380678,1.704149977177178,0.5172176801793397,1.3296374997205302
class,-3.545892403183207,2.2061970867732623,-3.1219539943315757,2.1342695563245284,-1.6458694665310285,0.4576112504802319,-2.0051030680857562,0.40481341458277165
classmate,0.19929727595527622,1.2212686975416929,0.39325327721354475,0.6693377026168732,-1.111353401150308,-1.2030966734554842,-1.3357285077961847,-0.6062532596607741
client,0.050243878517770346,0.7909141766688018,0.24132745606098918,1.434339756514598,0.2683649086518508,0.5405610264663875,0.23003076641714584,0.6676955917076162
clone,0.24599007435459144,0.6836578563627217,0.10981056334194023,0.16925394735581245,-0.0521289003468138,-0.44656618201267684,0.17724334161469804,-0.11028139679184765
closer,-1.7706744572572564,-0.2803483057997579,-1.6460999050668936,-0.24848516263704756,-1.3820659764754106,-0.09098468424798517,-1.5744306985977377,-0.0130486433736971
coder,0.8283378323857629,-0.4972206601073005,0.2792488860540213,-0.31398112165822406,1.342469324536792,0.17914307423474865,1.867170520400646,0.014751722337238343
collector,0.7237079385186511,-0.4754834918829033,0.9174476432870893,-0.5882542880089108,-0.6382613898094012,-0.8104995783675929,-0.19264409278382802,-0.8376731415621779
combatant,0.9686842424934694,1.0873359264638918,1.0709645593458066,0.18348744056358118,1.2386530901503363,-1.4453923207860482,0.9801458791310884,-2.030619673632214
comer,-0.8559946528127802,0.10163190513198722,-0.9194618546805524,0.27778440397199455,-0.10602804275702425,0.4886818106443601,-0.3851878669299885,0.04275949630817349
commander,1.5220772138127066,-0.7373901672115429,1.4832743592433273,-1.1701356377690586,1.9060577229389146,-1.3036416987656037,1.865645575370508,-1.1310939557589437
commentator,0.9245719994034678,-1.9624485259516715,0.7878163302270704,-1.9280011252138762,-0.51861732657146,-1.654455420888572,-0.38315365718506106,-1.6427258302964027
commoner,-0.1136977510443367,0.7494746398992114,-0.14977206093540113,0.4914733788326112,0.3189748014011377,1.7033320575291049,-0.11176764134903827,1.4156934615650636
companion,-0.4551478414766212,1.2959033446149053,-0.22541576669343405,1.1497080426116715,-0.5078755664244486,-0.022630190565191652,-0.5650874509512653,0.26283698516983967
competition,-2.694954790029875,1.0068609475835493,-2.6704551203637856,1.0731469828065359,-1.4090646634944946,-0.4358500815992469,-1.2991670823758747,-1.0731540225954128
competitor,-0.055142068760965744,1.4169630912735651,-0.022424257430416202,1.4162105281976667,-0.6837039952220538,1.3042281050867361,-0.5448013724296402,0.7174585290623043
computer,-1.4214927036816538,0.8447840814818551,-1.2350647232317769,0.22629082894896219,-0.4624535143327716,0.9958290960541167,-1.134389774206813,1.4824809018728375
comrade,1.5170624484026614,-0.39666964538231386,1.4749601786191073,0.20071843936705167,-0.8705849158661293,-1.7319632671745422,-0.7977141465428557,-0.5849303057723729
confessor,1.1607286976077043,-0.5136140088914882,1.1871210102072705,-0.8624372505332172,1.8163288661855805,0.6096306521097891,1.4357269042699454,-0.10172092177995068
conservative,-0.8338174423298157,-0.8166325692201059,-1.2147175305949989,-0.9502315512403345,-1.1833967005144073,-1.15511621224356,-1.3094173099562947,-0.8881320625359367
consumer,-1.2790165890326546,1.381799409841667,-1.2918839305817,1.940014308222434,-1.5997731867177516,0.5435468775986135,-1.5617559389985924,0.9049256300902797
contemporary,-1.5082471021306005,-1.1007692333502213,-1.1874532073221291,-1.3609087583207122,-1.7940760118596697,-0.2781253673708869,-1.559055739212749,-0.1981735950994173
contender,-0.6620661969232644,2.010759422155183,-0.02017606352967591,1.5982230331541898,-0.9795160627206434,-1.4139490921682472,-1.014531739690169,-1.7385506920601168
contestant,-0.41500853393613635,1.3072282898951486,-0.0675662990364888,0.8875906579867776,-0.42571169107193063,2.018577108907733,-0.5554237386543204,0.8526013652373556
contractor,-0.08070741038833287,-0.38391030651737607,-0.07214194022744691,-0.2863271398535563,-0.11384189787989961,-0.8401088254428275,0.06822985076179928,-0.9130048382601588
controller,0.07602247534788478,-0.29686181911632936,0.060674510633047754,-0.6393897103953047,-0.5081013959790328,-1.977152281121099,0.08958546179998561,-1.8376621191151084
coon,-0.4368261747359197,0.2390273924574173,-0.18608481209675085,0.05969981081041401,0.7253062131759606,1.1204788382912625,0.5598237353866576,0.7234803536972672
copycat,-0.921598960466358,-0.11972456229158107,-0.7103537752074577,-0.11786168697138402,0.710971554274654,0.8744396451111177,0.7216625516708154,0.0686103912233283
correspondent,0.5346554914831925,-0.5636413907985471,0.64141868281699,-0.7927998591112393,-0.6325625829990641,-0.28291592465324117,-0.5123512123418025,-0.5341891270174168
cottager,0.3304719720353395,1.150509122137107,0.1212718882210937,1.156653100871353,1.2561575391976043,1.5670239799193237,1.0447633002313523,1.178912363928309
counter,-2.379464150142618,1.0868874373221071,-2.2089923811783896,0.7909878403359806,-1.023191203903185,-1.3236910733757374,-1.3531556492505508,-1.501381000260966
