Noun,SV_Simple_s,SV_Simple_p,SV_SubjRelClause_s,SV_SubjRelClause_p,SV_SentComp_s,SV_SentComp_p,SV_PP_s,SV_PP_p,SV_ObjRelClauseThat_s,SV_ObjRelClauseThat_p,SV_ObjRelClauseNoThat_s,SV_ObjRelClauseNoThat_p,RA_Simple_s,RA_Simple_p,RA_SentComp_s,RA_SentComp_p,RA_ObjRelClauseThat_s,RA_ObjRelClauseThat_p,RA_ObjRelClauseNoThat_s,RA_ObjRelClauseNoThat_p,wikitext_s_freq,wikitext_p_freq,webtext_s_freqs,webtext_p_freqs
aboriginal,-1.6499609515822184,0.13965134081884226,1.2512137105777117,-0.983814718047005,-1.3130177456991374,-0.5563011736906055,-0.44510132095460553,0.11242739722065437,1.2950122531607227,0.844245905805035,1.4058515799857112,0.2652250210866282,-2.1475677609551287,-0.21012478517084954,-2.2336254552648844,0.03803462315757496,-1.6402615475380498,0.2741396723364461,-1.5754171640178893,0.16714556931389424,830,72,45619,1799
absentee,-1.269187685709661,-0.8163674723332488,-0.07788300832439393,-0.01730590962550671,-1.366253472987042,-2.0535845897955873,0.6569149863807683,0.5265276063862324,-1.6108554568370521,1.151642597716565,-0.5476195500468999,-0.338206410156591,-0.1629879832533831,1.3229963675355392,-0.03196480883647851,0.4762344428293972,0.5757104432719894,0.14165616386825983,0.09408848092696787,0.497765233705739,111,6,16385,692
accuser,1.7392830466933247,0.9809407375583044,-0.9346289484731658,0.6649898332763607,0.44728391103328713,-0.45503730631478095,2.239635391906097,0.9224962512395545,2.026105670381548,-2.2268593825116327,0.5343641335563688,-1.056008226197779,0.8772852851591839,-0.4572801259483824,0.9862324329103511,-0.23927313555465493,0.7929546645654253,-0.7650714076128461,1.0760269811877947,-0.209926118494324,39,38,8493,8521
ace,-0.34775051950350877,2.01369627879107,-1.6229579465295247,1.4378185143637014,-0.24844873043609328,1.6526304019778784,-0.5975145859855541,-1.6212688653057752,0.8602473560750818,-0.14670345395854908,0.22964199590631884,0.13657339550255682,0.5123493409102318,-0.294296940414606,0.15945660474483977,-0.9776709985216931,-0.4517513700218137,-1.7728549157073963,-0.06752337114467208,-1.8483703014571513,1494,295,51916,8130
achiever,-0.8316100017020942,-0.6153335030795001,-0.6583778819098085,0.716105232355491,0.32939472192951974,0.11106388504468197,-0.39579419547288175,1.1686766036212528,-0.30022435508670015,1.590142763095722,0.619257299405925,0.6330386257268501,-0.006012097863344701,-0.07140038641314368,0.3586926560917454,0.3034950553998054,0.4005743364559288,0.7528503019581041,-0.15467116230960928,0.6013644959700226,25,6,577,1612
acquaintance,0.23678680846205155,-0.7434209655372358,-0.5645954954672183,0.7184955650634745,-0.8572152860330087,-1.0780860186375856,-0.3020680085616152,-3.0159862409350824,1.957252677038365,-1.9689566888818701,0.5464189253900869,-0.5998127109505911,-0.2200350719814923,0.788618853210321,0.005412939494206903,0.5756127639741271,-1.0180709879048082,-1.3308524384431135,-0.863830735541643,-1.018343841496288,373,218,13178,9081
addict,0.0493364308765499,0.9753229074697357,-0.1294267497393716,0.026507919012239145,1.812380782411882,0.7070909598811101,0.3531499475917088,1.2201484978535264,0.313624632660814,1.153931390208106,0.014255126706606419,1.7444968785013706,0.5960733609445892,0.4604014371968887,0.6845293932074756,0.13983111223413439,-0.9471532051138076,0.9865675931046853,-0.6028044425510056,0.7214041039488797,145,72,12455,18953
adherent,0.061070205191166994,0.0635444780072713,0.06860271882412661,1.6918161373108902,-0.6132437704629842,-0.4169313337744841,-0.1748334487771106,-2.6275041048951686,0.3749727337133469,-1.7721106650110499,-0.7306267275429768,-0.7261577016255778,-0.2341285116362458,0.28459515702423327,-0.13188083310695908,0.5119815755936412,0.564209469212172,-1.2213588433670728,0.5959592478404019,-0.5133777900282234,66,352,2216,12743
administrator,1.1790002813722305,-1.4812147928151433,0.07098167176403662,-0.21943143271644078,0.3326157513353247,-0.4238798285696742,0.5569141226690448,-2.0714217409844777,1.0710888956830322,-1.514424528582742,1.3413447571288408,-1.1078452507656276,1.0437191037527562,-2.7417431254728584,0.853034850130338,-2.7685144264410475,0.061463705118962625,-1.9218711707417704,0.5911671354331378,-1.5923774777689559,782,492,61210,57008
admirer,0.2806764220466502,-2.123103603238252,-0.5406876079102463,0.04001654745419063,-0.06240715007612664,-1.4410597097391278,0.913126117860352,0.525553845704641,-0.17733990428240953,-0.4128485751023516,0.29955039558507424,-0.009286597428190074,0.8422731193646777,0.7525487247250172,0.6677570818519621,0.21932495128723503,1.2708712754922438,0.09565634825667603,0.7440315995084648,0.31330218286610534,270,182,6444,6882
