Noun,Simple_s,Simple_p,SubjRelClause_s,SubjRelClause_p,SentComp_s,SentComp_p,PP_s,PP_p,ObjRelClauseThat_s,ObjRelClauseThat_p,ObjRelClauseNoThat_s,ObjRelClauseNoThat_p
abductor,1.0719372130688338,-0.00333589843069403,-0.1444588106166304,-1.6627130520997118,0.3748336991316403,-1.1798729338331362,0.6170556598605785,0.34664994006203187,-0.5767664997701225,-1.3103097158822594,-0.9694748303994429,-0.6051213062815829
aborigine,-1.36607566494348,-0.8526473323605852,-0.5612224843287508,-0.8934688329240679,-1.2766662040341132,-0.5666948688094813,-0.7941700683337439,-1.1347828169251677,-1.1474775127166508,0.023522716508504446,-1.355237965857222,-1.232374096613427
abstainer,0.4617720284683217,0.6394460799533088,0.18244078365321917,0.4029989232439909,-0.27171776190341773,1.05007382682051,0.7077663172804054,0.6185758353089048,-1.3708295150186136,0.6362255590864105,-1.8141633675650986,-0.2136346879847507
accumulator,-0.08534405047035362,-0.1019030332410659,0.4737924281860154,0.21086099378231857,0.9188492452228127,0.5483687126128508,-2.3674762922990085,-1.994877184374014,0.9457147928016036,-0.007846937480867604,-0.28113011134331245,1.0934653209749436
achiever,0.3399584840440997,0.9325019763235564,-0.25626101263195733,0.8773056315211438,0.4208210782305429,1.2465161706902959,0.21786181659698275,-0.05549746130080821,0.1958715968301784,0.5791091975782086,0.1184588711850871,1.3943776609597025
acquaintance,0.09168141769284734,-0.5727271918966698,0.6666676971144895,0.5121083548767165,-0.3770470120620386,-0.6915000127036448,0.540461444913827,0.5008831505290786,0.0735118546842201,0.5746476772695207,0.8740820242492537,0.3527105166355614
addict,1.0596870254218236,1.3958847274102484,1.809137998136693,-0.8405573040654628,0.9337825006096034,1.4742520710565685,0.14622928616100006,0.7140888430175083,1.604755328035876,0.4038194241664358,0.09490020133123389,0.5682396685371511
adherent,0.17604185505326247,0.42840667164237145,0.6070643256889405,0.20013234243378492,0.6132105062257319,0.6195807800008782,0.6342954964771976,1.0102290482340393,-0.019418008522848904,1.1407423143401756,-0.22280142369078673,0.6451075241185853
administrator,0.8678463788923853,-0.18765212635641534,0.15946148593455567,-0.1285515605434572,-0.29072449627676644,-0.3616150315914999,-0.11496099725670893,0.07324605638627268,-1.6320137479713999,-0.04918641036897079,0.09195081336520414,-0.028911526838643703
admirer,1.3027405378518868,0.303906675981952,0.25060255058534747,0.257395304913464,0.4948079321491221,0.05910334392945282,0.9492370372186385,0.43419324937157183,-0.3249789545754672,-0.33635936099703934,-0.8482058568558147,0.32300665226689085
adolescent,-1.0756911652663719,0.03533967660870261,1.2742981354689429,0.6364569154708634,-0.44210555059138124,0.14188421924403635,0.03525559690258189,0.4895856354599858,1.6559864053712978,0.7617740425122081,0.06460189380350778,0.5457528290967999
adult,-1.236022568614406,1.4539489330711173,1.4325651099022778,-0.25344670940832903,-0.362217464613502,0.31940923797422954,0.8280494946980606,0.8775775774844743,1.1055846165438257,0.9716871523324109,-0.03694728849011222,0.9860896538399997
adventurer,1.5401673610442974,0.29058668588843944,-0.25245115834987575,-1.1617416164411574,-0.19725194141488195,-1.174501730748398,1.1274076894955956,0.16699690308269172,0.23875311656965906,-0.52385275991033,0.3406198843894863,-0.8792735090180165
adversary,1.2216394717691976,-0.14849265411377188,0.19867105556814924,0.8360798015439052,1.2514220658078288,0.11973293907574817,1.526465693701044,0.874660012913842,-0.4401683886074864,0.2870586990390538,-0.023054037279912516,0.33868419812577444
advocate,0.4452117399104223,0.8880043769747286,0.3894982513233466,2.4795411030932275,-0.9430183186674632,0.7158847782308417,1.1612689409999162,1.203080968188696,0.1119106374187614,-0.32653258715970834,0.13966038598193228,1.281410271535636
agent,0.8730036186858855,0.20524869886126207,0.9498748938392632,0.41188552808780415,-0.27269995355381293,-0.7632666946051394,0.8204939412524301,1.0991063015679603,0.9660563774130546,-0.12388694124412097,1.4101977639191046,-0.2959843534794822
aggregator,-0.14531668191856228,1.326482974519351,0.28858381995673665,1.0130772375384691,-0.19933196864855485,2.5189736972520307,-1.3928082517468168,-1.7774084817539442,1.2752713480631224,1.2636355464763043,0.7929955534217297,1.0009713234606823
